Reference	Year	Sample.ID	SiO2.liq	TiO2.liq	Al2O3.liq	FeOt.liq	MnO.liq	MgO.liq	CaO.liq	Na2O.liq	K2O.liq	Cr2O3.liq	P2O5.liq	H2O.liq	SiO2.cpx	TiO2.cpx	Al2O3.cpx	FeOt.cpx	MnO.cpx	MgO.cpx	CaO.cpx	Na2O.cpx	K2O.cpx	Cr2O3.cpx	P_GPa	T_K
"Liu, T.C., Chen, B.R., and Chen, C.H. (2000)"	2000	KYBP8	53.6	0.91	18.53	6.01	0.22	7.02	8.68	3.93	1.88	0.06			49.7	0.05	6.22	8.96	0.24	17.07	17.01	0.2	0.05	0.32	1.5	1573.15
"Liu, T.C., Chen, B.R., and Chen, C.H. (2000)"	2000	KYBP9	53.5	0.92	18.5	6	0.19	7.06	8.72	3.93	1.86	0.06			49.1	0.62	7.9	8.31	0.3	14.99	17.92	0.82	0.04	0.27	2	1598.15
"Longhi, J (1995)"	1995	TB593-1	38	5.24	7.78	26.2	0.26	11.4	8.48	0.87	0.12	0.42			51.1	0.8	4.81	11.9	0.18	19	10.2	0.5		0.52	3	1793.15
"Longhi, J (1995)"	1995	TB593-2	38.4	4.53	8.13	25.4	0.26	12.1	8.4	0.79	0.08	0.53			51.1	0.74	4.8	11.9	0.17	19.3	9.98	0.46		0.54	3	1811.15
"Longhi, J (1995)"	1995	TB992-1	38	6.25	7.38	28.9	0.41	10.8	7.7	0.8	0.28	0.54			52	0.73	4.09	14.8	0.26	20.9	6.74	0.34		0.53	3	1763.15
"Longhi, J (1995)"	1995	TB992..4	39.1	4.79	8.18	25.8	0.4	11.7	7.98	0.75	0.21	0.65			51.6	0.58	4.13	14.1	0.22	21.6	5.95	0.29		0.56	3	1798.15
"Longhi, J. (2002)"	2002	MO1295-5	46.6	1.74	13.3	9.53	0.13	13.9	6	5.61	2.09	0.11	0.69		53.3	0.33	9.1	5.53	0.1	22.9	6.61	1.93		0.57	2.8	1791.15
"Longhi, J. (2002)"	2002	MO1295-6	46.1	1.8	13.4	9.78	0.13	13.5	6	5.57	2.17	0.09	0.73		53.8	0.33	8.27	5.55	0.11	22.5	6.94	2.04		0.54	2.8	1781.15
"Longhi, J. (2002)"	2002	MO1295-7	46.5	1.72	13.2	9.44	0.12	13.9	6.03	6.04	2.07	0.13	0.72		54.7	0.32	8.06	5.61	0.1	23.7	6.63	1.85		0.51	2.8	1784.15
"Longhi, J. (2002)"	2002	MO1295-8	46.4	1.79	14.3	8.97	0.11	12.9	6.11	5.1	1.94	0.14	0.63		52.4	0.31	8.4	5.79	0.08	23.1	6.47	1.58		0.8	2.4	1758.15
"Longhi, J. (2002)"	2002	MO695-4	46.2	1.47	12.2	11.5	0.17	14.7	6.03	4.78	1.19	0.21	0.62		53.6	0.26	7.06	6.69	0.16	24	5.1	1.69		0.75	2.8	1783.15
"Longhi, J. (2002)"	2002	MO895-4	45.5	2.01	13.1	10.6	0.12	12.1	6.1	6.07	2.31	0.06	0.77		52.5	0.4	8.95	5.38	0.11	19.1	9.31	2.44		0.63	2.8	1773.15
"Longhi, J. (2002)"	2002	TM294-2	46	1.39	12.8	12.5	0.22	14.8	6.83	3.94	0.5	0.33	0.2		54	0.29	6.88	7.44	0.16	24.4	5.35	1.22		0.61	2.8	1838.15
"Longhi, J. (2002)"	2002	TM295-2	45.4	2.09	12.4	12.6	0.12	15	7.31	3.04	0.89	0.2	0.25		52.8	0.36	7.93	6.77	0.1	23.1	6.68	1.29		0.55	2.8	1818.15
"Longhi, J. (2002)"	2002	TM295-3	45	1.57	13.1	11.5	0.12	16	7.48	2.94	0.66	0.29	0.24		51.8	0.28	8.06	6.32	0.07	24	5.66	1.17		0.75	2.8	1813.15
"Longhi, J. (2002)"	2002	TM295-4	45.5	1.65	12.5	11.6	0.1	15.7	7.38	2.95	0.61	0.24	0.21		53.8	0.16	5.86	6.65	0.09	29.8	1.94	0.43		0.62	2.8	1813.15
"Longhi, J. (2002)"	2002	TM694-5	44.4	2.08	11.9	15.5	0.1	12.5	6.61	4.59	0.83	0.16	0.35		53.5	0.51	8.2	7.98	0.17	19.1	8.77	2.15		0.56	2.8	1768.15
"Longhi, J., Pan, V. (1989)"	1989	EAWo0-2	50.2	0.95	8.03	17.15	0.48	10.07	9.74	1.06		0.15			55.2	0.09	0.5	13.86	0.51	27.57	2.15	0.03		0.4	0.0001	1513.15
"Longhi, J., Pan, V. (1989)"	1989	EAWo0-5	49.9	1.07	9.13	16.62	0.5	8.44	10.92	1.12		0.22			54	0.17	0.92	14.66	0.53	25.66	3.09	0.03		0.41	0.0001	1488.15
"Longhi, J., Pan, V. (1989)"	1989	EAWo15-2	49.7	0.71	6.05	15.31	0.42	10.75	12.98	0.77		0.19			53.3	0.15	0.91	8.04	0.34	19.26	16.55	0.15		0.73	0.0001	1513.15
"Longhi, J., Pan, V. (1989)"	1989	EAWo20-l	48.4	0.87	7.33	17.97	0.46	9.25	13.33	0.73		0.15			53.7	0.13	0.85	7.76	0.31	17.85	18.79	0.2		0.75	0.0001	1488.15
"Maaloe, S (2004)"	2004	14	43.4	2.7	17.2	13.9		9.3	10	2.6		0.1			47.5	0.9	10.6	9		18.2	12.2	0.7		0.3	2	1673.15
"Mahood, G.A., Baker, D.R. (1986)"	1986	Ia-909	45.2	4.75	15.2	12.7	0.17	4.66	8.04	4.37	2.29		1.43		47	2.69	8.77	7.27	0.16	13.5	19.3	0.7	0.05		0.8	1398.15
"Mahood, G.A., Baker, D.R. (1986)"	1986	Ia-919	46.8	4.03	15.9	11.2	0.16	3.81	6.61	5.05	3.42		1.65		47.9	2.82	7.46	9.14	0.18	11.6	19.5	1.02			0.8	1373.15
"Mahood, G.A., Baker, D.R. (1986)"	1986	Ia-948	44.6	4.81	15	13.5	0.2	4.38	8.11	4.49	2.39		1.87		47.1	3.01	8.64	7.69	0.15	12.7	18.7	0.74	0.01		0.8	1373.15
"Mahood, G.A., Baker, D.R. (1986)"	1986	PSU-10	47.9	4.55	14.6	11.7	0.28	3.69	8.47	4.36	2.82		2.03		46.8	3.54	6.35	8.52	0.03	13.3	20.6	0.4	0.03		0.0001	1349.15
"Mahood, G.A., Baker, D.R. (1986)"	1986	PSU-12	50.5	2.77	15.8	8.16	0.07	3.41	6.04	5.19	3.96		3.05		43.4	4.61	9.55	9.3	0.02	12.1	20.1	0.51	0.01		0.0001	1328.15
"Mahood, G.A., Baker, D.R. (1986)"	1986	PSU-8	46.1	5.09	13.4	13.3	0.22	4.31	10.1	3.5	2.08		1.61		45	4.12	7.81	7.35	0.11	13	21	0.36	0.01		0.0001	1373.15
"Mahood, G.A., Baker, D.R. (1986)"	1986	SI-1	45.6	5.09	14.3	12.2		4.7	9.38	4.2	2.01		1.43		48.9	2.96	5.39	8.11		13.8	21.9	0.59			0.0001	1396.15
"Mahood, G.A., Baker, D.R. (1986)"	1986	SI-13	48.5	4.32	13.3	13.5		3.7	8.35	4.11	2.45		1.88		49.4	2.57	4.5	9.67		13	21	0.57	0.07		0.0001	1364.15
"Mahood, G.A., Baker, D.R. (1986)"	1986	SI-2	47.8	4.39	13.2	13.2		4.48	9.17	3.75	1.77		1.36		49.1	1.8	3.94	8.13		13.9	21	0.39			0.0001	1396.15
"Mahood, G.A., Baker, D.R. (1986)"	1986	STAN-11	50.3	1.53	18.5	7.58	0.14	3.28	4.32	6.51	5.1		2.69		44.5	3.66	9.34	8.65	0.15	11.5	20.1	0.55	0.14		0.0001	1299.15
"Mahood, G.A., Baker, D.R. (1986)"	1986	STAN-9	45.8	4.33	14.1	11.7	0.17	4.9	10.5	3.98	1.7		1.36		49.3	2.38	4.16	7.64	0.16	13.5	21.7	0.44	0.05		0.0001	1399.15
"Mahood, G.A., Baker, D.R. (1986)"	1986	ta-892	45.1	3.91	15.7	11.4	0.21	5.6	9.25	3.97	1.62		1.23		47.7	2.42	7.98	6.38	0.12	13.8	19.8	0.7			0.8	1423.15
"Martel, C., Pichavant, M., Holtz, F., Scaillet, B., Bourdier, J., Traineau, H. (1999)"	1999	D29/3	68.3	0.34	13.11	2.5	0.16	0.54	2.9	3.29	2.03			6.9	51.2	0.41	2.49	13.67	0.87	13.37	17.25	0.44	0.05		0.213	1149.15
"Martel, C., Pichavant, M., Holtz, F., Scaillet, B., Bourdier, J., Traineau, H. (1999)"	1999	P1D/1	66.5	0.39	13.79	3.22	0.08	0.6	3.55	3.5	1.45			6.9	51.1	0.43	3	11.67	0.74	13.63	18.99	0.35	0.03		0.213	1149.15
"Martel, C., Pichavant, M., Holtz, F., Scaillet, B., Bourdier, J., Traineau, H. (1999)"	1999	PID/21												6.9	49.2	0.83	6.16	18.26	0.96	13.39	10.83	0.44	0.1		0.2117	1223.15
"Martel, C., Pichavant, M., Holtz, F., Scaillet, B., Bourdier, J., Traineau, H. (1999)"	1999	PID/5	65.9	0.35	14.35	3.53	0.17	1.01	4.05	3.83	1.34			5.5	51	0.38	2.56	11.87	0.63	13.73	18.98	0.25	0.01		0.198	1173.15
"Martel, C., Pichavant, M., Holtz, F., Scaillet, B., Bourdier, J., Traineau, H. (1999)"	1999	PIR/12	45.1	0.01	30.34	0.7		0.04	15.92	1.85	0.07			6.45	51.9	0.32	2.52	7.75	0.59	16.06	20.74	0.19	0.02		0.2265	1203.15
"Martel, C., Pichavant, M., Holtz, F., Scaillet, B., Bourdier, J., Traineau, H. (1999)"	1999	PIR/5	68.2	0.41	14.17	2.63	0.15	0.33	3.37	3.09	2.09			5.6	52.4	0.36	2.15	14	0.68	15.84	14.05	0.17	0.04		0.2205	1176.15
"Martel, C., Pichavant, M., Holtz, F., Scaillet, B., Bourdier, J., Traineau, H. (1999)"	1999	PIR/8	66.2	0.53	15.12	2.84	0.2	0.22	4.03	3.25	1.41			6.2	50.4	0.51	2.52	13.78	0.51	12.94	17.79	0.2	0.01		0.2112	1175.15
Masotta et al. (2012)	2012	SVD-19	54.4	0.5	20.83	4.05	0.13	0.91	5.08	3.28	10.4	0	0.41	2.22	43.36	1.44	9.41	12.65	0.25	8.3	22.87	0.32	0.19	0	0.3	1223.5
Masotta et al. (2012)	2012	SVD-21	55.32	0.41	21.2	2.83	0.12	0.5	4.21	3.69	11.16	0	0.56	2.89	42.84	1.5	10.75	13.25	0.26	6.89	22.24	0.49	0.51	0	0.3	1173.5
Masotta et al. (2012)	2012	SVD-29	52.57	0.73	19.22	5.88	0.16	1.92	7.46	2.72	8.9	0	0.43	2	43.48	1.32	9.18	11.36	0.2	9.9	23.44	0.3	0.15	0	0.3	1273.5
Masotta et al. (2013)	2013	TGVT-1	59.63	0.42	21.23	2.33	0.14	0.2	2.57	4.35	9.11	0	0.03	5.15	41.7	1.64	9.73	14.28	0.52	6.19	22.08	0.45	0.23	0	0.2	1123.5
Masotta et al. (2013)	2013	TGVT-10	58.66	0.53	20.17	2.8	0.15	0.54	4.38	4.16	8.53	0	0.07	2.8	46.25	1.39	7.16	9.72	0.4	9.87	22.89	0.5	0.32	0	0.2	1198.5
Masotta et al. (2013)	2013	TGVT-12	58.07	0.52	20.47	2.85	0.15	0.51	4.45	4.19	8.71	0	0.08	3.25	46.24	1.24	6.32	9.53	0.36	9.99	23.26	0.38	0.19	0	0.2	1198.5
Masotta et al. (2013)	2013	TGVT-13	57.91	0.48	19.86	3.25	0.13	0.46	4.77	4.47	8.55	0	0.11	2.2	47.57	1.04	6.63	11.37	0.28	9.08	23.02	0.5	0.18	0	0.2	1223.5
Masotta et al. (2013)	2013	TGVT-14	58.62	0.53	20.46	3.17	0.16	0.41	3.84	4.07	8.66	0	0.08	3.33	46.9	1.19	5.83	10.72	0.49	9.71	22.34	0.47	0.18	0	0.2	1223.5
Masotta et al. (2013)	2013	TGVT-2	58.88	0.26	22.47	2.11	0.17	0.14	2.27	4.19	9.5	0	0.01	5.05	41.96	2.29	8.72	16.63	0.73	4.84	21.68	0.82	0.3	0	0.2	1123.5
Masotta et al. (2013)	2013	TGVT-3	58.82	0.4	20.61	2.46	0.13	0.18	2.88	4.71	9.77	0	0.04	3.52	43.74	2.16	8.36	12.44	0.45	7.5	22.57	0.49	0.22	0	0.2	1173.5
Masotta et al. (2013)	2013	TGVT-4	58.65	0.54	20.16	2.89	0.16	0.21	3.11	5.04	9.18	0	0.06	2.66	43.86	1.54	9.27	13.15	0.51	7.16	22.6	0.59	0.33	0	0.2	1173.5
Masotta et al. (2013)	2013	TGVT-5	59.3	0.51	20.94	2.63	0.16	0.35	3.73	3.86	8.45	0	0.08	5.33	44.18	1.54	7.74	12	0.41	8.79	22.47	0.47	0.17	0	0.2	1173.5
Masotta et al. (2013)	2013	TGVT-6	58.36	0.46	20.89	2.45	0.1	0.36	3.91	4.43	8.99	0	0.05	3.55	42.08	1.62	10.43	13.46	0.43	6.96	23.64	0.49	0.14	0	0.2	1173.5
Masotta et al. (2013)	2013	TGVT-7	59.14	0.52	20.33	2.46	0.13	0.39	4.17	4.18	8.61	0	0.07	4.05	44.31	1.56	8.97	11.19	0.4	7.68	21.91	0.57	0.47	0	0.2	1173.5
Masotta et al. (2013)	2013	TGVT-8	57.78	0.52	20.54	2.72	0.15	0.3	3.3	4.97	9.65	0	0.07	4.2	44.82	1.73	8.55	12.54	0.46	8.33	23.04	0.56	0.23	0	0.2	1173.5
Masotta et al. (2013)	2013	TGVT-9	58.81	0.53	20.45	2.42	0.12	0.32	3.37	4.41	9.51	0	0.05	3.55	43.57	1.78	8.11	12.55	0.51	7.83	22.53	0.54	0.18	0	0.2	1173.5
Masotta et al. (2013)	2013	VGPL-1	60.36	0.5	16.89	4.91	0.13	1.92	4.36	4.19	6.44	0	0.3	3.29	51.52	0.51	2.83	9.14	0.27	13.61	20.58	0.33	0.1	0	0.2	1273.5
Masotta et al. (2013)	2013	VGPL-10	60.05	0.57	16.8	4.98	0.11	2.17	4.5	4.12	6.38	0	0.32	3.4	51.52	0.43	2.76	7.56	0.26	14.61	22.34	0.45	0.1	0	0.2	1273.5
Masotta et al. (2013)	2013	VGPL-2	66.98	0.39	18.79	2.42	0.09	0.63	2.19	2.38	6	0	0.14	4.91	46.11	0.54	6.31	12.8	0.3	9.19	21.68	0.51	0.12	0	0.2	1173.5
Masotta et al. (2013)	2013	VGPL-3	62.4	0.5	17.76	3.28	0.08	1.12	3.13	4.76	6.76	0	0.22	6.84	49.83	0.39	2.86	8.39	0.32	13.77	21.81	0.42	0.12	0	0.2	1223.5
Masotta et al. (2013)	2013	VGPL-4	62.41	0.48	18.43	2.49	0.07	0.78	2.46	5.2	7.35	0	0.32	4.51	49.05	0.66	4.52	11.11	0.31	11.76	20.62	0.45	0.14	0	0.2	1223.5
Masotta et al. (2013)	2013	VGPL-5	63.52	0.47	18.19	2.6	0.07	0.85	2.65	4.76	6.59	0	0.31	2.4	49.4	0.65	4.89	11.54	0.32	11.42	21.26	0.42	0.15	0	0.2	1223.5
Masotta et al. (2013)	2013	VGPL-6	64.59	0.35	18.2	2.99	0.09	0.71	2.11	4.04	6.72	0	0.2	2.97	48.69	0.55	4.47	11.51	0.34	11.44	20.38	0.47	0.18	0	0.2	1223.5
Masotta et al. (2013)	2013	VGPL-7	62.03	0.46	17.94	3.16	0.09	1.18	3.15	4.97	6.78	0	0.24	6.21	51.71	0.27	1.96	8.94	0.35	14.81	20.55	0.44	0.19	0	0.2	1248.5
Masotta et al. (2013)	2013	VGPL-8	61.46	0.48	17.44	3.65	0.12	1.38	3.76	4.81	6.52	0	0.38	4.57	51.15	0.42	2.59	7.53	0.21	14.35	21.57	0.43	0.13	0	0.2	1273.5
Masotta et al. (2013)	2013	VGPL-9	61.83	0.46	17.67	3.81	0.08	1.37	3.62	4.62	6.18	0	0.35	1.73	49.84	0.42	4.25	10.16	0.27	12.64	21.27	0.47	0.14	0	0.2	1273.5
"McCoy, T.J., Lofgren,  G.E. (1999)"	1999	63	48.8	1.12	8.66	19.8	0.52	5.6	9.95	2.01	0.19				52.6	0.26	1.68	13.2	0.56	16.4	15.4	0.2			0.0001	1423.15
"McCoy, T.J., Lofgren,  G.E. (1999)"	1999	64	59.9	1.07	9.58	9.48	0.43	4.95	8.23	2.31	0.26				51.8	0.33	2.44	10	0.65	17.7	16.9	0.28			0.0001	1423.15
"McCoy, T.J., Lofgren,  G.E. (1999)"	1999	74	49	1.15	9.2	19.2	0.52	5.28	10.2	2.06	0.2				52.8	0.23	1.12	14.6	0.58	16.4	14.1	0.13			0.0001	1423.15
"McCoy, T.J., Lofgren,  G.E. (1999)"	1999	75	50.3	1.33	11.9	17.1	0.41	3.62	8.71	2.89	0.29				60	0.54	2.59	16.8	0.64	12.7	16.2	0.22			0.0001	1373.15
"McCoy, T.J., Lofgren,  G.E. (1999)"	1999	76	52.8	1.33	13.8	14.6	0.37	2.92	7.65	3.16	0.38				50.6	0.67	3.05	17.4	0.61	12.3	16	0.21			0.0001	1323.15
"McCoy, T.J., Lofgren,  G.E. (1999)"	1999	77	50.4	1.18	9.57	18.1	0.55	5.28	10.5	1.73	0.18				53.2	0.38	1.69	14.9	0.63	17	12.9	0.09			0.0001	1423.15
"McDade, P., Blundy, J.D., Wood, B.J. (2003)"	2003	R64-11	47.6	1	18.25	6.73		10.82	9.81	3.82		0.11			49.6	0.34	9.44	3.42		18.21	16.57	0.85		0.83	1.5	1623.15
"McDade, P., Blundy, J.D., Wood, B.J. (2003)"	2003	R64-12	48	0.96	18.3	4.66		12.4	9.92	3.21		0.12			50.5	0.39	8.27	3.13		20.02	15.33	0.89		0.57	1.5	1623.15
"McDade, P., Blundy, J.D., Wood, B.J. (2003)"	2003	R64-3	49.2	0.85	17.19	5.19		12.72	10.9	2.71		0.2			51.4	0.37	7.85	3.23		19.23	16.29	0.82		0.67	1.5	1623.15
Medard and Grove (2007)	2007	2002-6	50.5	0.56	14.89	3.84	0.05	3.55	5.53	2.64	0.62	0	0.23	9.81	54.04	0.29	1.85	5.46	0.13	17.84	20.09	0.3	0	0	0.49	1248.5
Medard and Grove (2007)	2007	2002-7	49.69	0.57	14.19	3.94	0.05	4.12	5.83	2.52	0.61	0	0.21	9.81	53.74	0.24	1.82	4.59	0.11	17.69	21.4	0.27	0	0	0.48	1273.5
Medard and Grove (2007)	2007	2002-8	54.23	0.6	14.82	4.54	0.11	5.25	7.06	2.51	0.56	0	0.13	9.81	54.09	0.2	1.58	4.45	0.12	18.3	21.07	0.26	0	0	0.49	1298.5
"Medard, E., Schmidt, M.W., and Schiano, P. (2004)"	2004	ak02	48.6	0.51	13.85	8.72		11.91	14.63	1.39	0.35				53.1	0.14	3.61	3.46		18.68	20.78	0.19			1	1656.15
"Medard, E., Schmidt, M.W., and Schiano, P. (2004)"	2004	ak08	47.9	0.03	14.26	10.03		12.52	12.76	0.53	2.76				51.8	0.21	6.52	4.14		18.13	18.88	0.36			1.5	1671.15
"Medard, E., Schmidt, M.W., and Schiano, P. (2004)"	2004	ak14	49	0.43	12.49	8.38		13.68	14.38	1.33	0.29				53.4	0.14	3.81	3.3		19.2	19.95	0.22			1.21	1659.15
"Medard, E., Schmidt, M.W., and Schiano, P. (2004)"	2004	ak28	49.5	0.41	12.12	7.76		12.98	15.72	1.26	0.29				54.7	0.09	1.92	2.9		20.28	20.28	0.15			0.7	1638.15
"Medard, E., Schmidt, M.W., and Schiano, P. (2004)"	2004	ak29	49.3	0.4	11.97	7.83		13.83	15.11	1.2	1.2				54.1	0.13	3.27	2.9		19.9	19.54	0.19			1.01	1663.15
"Medard, E., Schmidt, M.W., and Schiano, P. (2004)"	2004	ak34	49.6	0.48	12.81	7.95		13.17	14.46	1.24	0.32				53.4	0.14	4.05	3.52		19.04	19.54	0.27			1.5	1693.15
"Medard, E., Schmidt, M.W., and Schiano, P. (2004)"	2004	bt01	45.3	0.65	18.63	8.02		7.19	15.03	3.79	1.36				49.7	0.49	8.87	2.86		14.27	22.59	0.65		0.65	0.7	1523.15
"Medard, E., Schmidt, M.W., and Schiano, P. (2004)"	2004	bt03	45.6	0.69	17.4	7.2		7.96	16.98	3.01	1.04				51.6	0.44	6.09	2.51		15.27	23.46	0.3		0.35	0.7	1548.15
"Medard, E., Schmidt, M.W., and Schiano, P. (2004)"	2004	bt12	45.8	0.7	16.85	7.6		8.02	17.66	2.51	0.85				51.2	0.41	4.64	2.76		15.77	24.06	0.19		0.95	0.0001	1463.15
"Medard, E., Schmidt, M.W., and Schiano, P. (2004)"	2004	bt18	45.6	0.68	16.52	7.57		8.46	17.47	2.72	0.98				51	0.42	6.05	2.97		15.69	23.09	0.28		0.5	0.5	1530.15
"Medard, E., Schmidt, M.W., and Schiano, P. (2004)"	2004	bt30	45	0.68	18	8.58		7.21	15.57	3.89	1.11				51.5	0.44	4.94	2.92		16.01	23.68	0.2		0.35	0.25	1473.15
"Medard, E., Schmidt, M.W., and Schiano, P. (2004)"	2004	bt31	44.5	0.77	17.74	8.78		6.83	16.17	4	1.18				51.3	0.4	4.97	3.03		15.83	23.64	0.18		0.59	0.25	1473.15
"Medard, E., Schmidt, M.W., and Schiano, P. (2004)"	2004	bt36	44.3	0.69	17.43	9.04		8.82	15.31	3.29	1.11				50.9	0.32	5.41	2.86		16.7	23.06	0.27		0.48	0.7	1558.15
"Medard, E., Schmidt, M.W., and Schiano, P. (2004)"	2004	bt42	45.4	0.66	16.51	7.48		8.93	17.48	2.64	0.9				51.6	0.41	4.96	2.68		16.21	23.26	0.16		0.75	0.25	1493.15
"Meen, J.K. (1987)"	1987	2023-14	59.8	0.99	15.9	6.79		2.89	4.45	3.95	5.23				51.3	0.36	2.65	12.2	0.31	13.1	19.7	0.48			1	1423.15
"Meen, J.K. (1987)"	1987	2023-15	61.4	0.7	16.1	6.06		2.07	3.44	3.64	6.57				50.9	0.55	3.16	13.2	0.42	12.8	19.5	0.42			1	1398.15
"Meen, J.K. (1987)"	1987	2023-6	60.7	0.81	16	6.35		2.57	3.9	4.27	5.38				52.2	0.32	1.81	12.1	0.35	13.3	19	0.26			0.0001	1383.15
"Meen, J.K. (1987)"	1987	2023-7	62.6	0.61	17.5	4.82		1.54	2.72	3.68	6.53				50.1	0.15	3.93	13.3	0.69	11.5	20.3	0.85			0.0001	1358.15
"Meen, J.K. (1987)"	1987	2080-14	53.5	1.79	20.3	7.75		4.04	6.52	4.87	1.19				50.7	0.46	1.85	15.1	0.38	11.6	20.2	0.54			1	1448.15
"Meen, J.K. (1987)"	1987	2080-15	53.9	1.84	19.7	7.74		3.99	6.7	4.75	1.42				50.9	0.44	2.12	13.8	0.31	12.1	19.9	0.49			1	1423.15
"Meen, J.K. (1987)"	1987	2080-16	55.4	1.61	18.4	7.37		3.97	7	4.48	1.8				51.1	0.42	2.09	12.4	0.29	13.4	19.9	0.56			1	1398.15
"Meen, J.K. (1987)"	1987	2082h-7	60.6	0.89	17.8	6.75		2.6	4.23	3.66	3.46				51.7	0.44	1.38	12.2	0.34	13.9	20.1	0.22			0.0001	1383.15
"Meen, J.K. (1987)"	1987	2085-15	57	0.98	16.9	8.19		3.89	6.36	3.41	3.19				51.2	0.56	2.77	10.9	0.3	13.7	20.3	0.39			1	1423.15
"Meen, J.K. (1987)"	1987	2085-16	57.1	0.99	17.7	7.49		3.09	6.54	3.57	3.48				52.2	0.51	2.43	11.8	0.24	12.9	19.7	0.36			1	1398.15
"Meen, J.K. (1987)"	1987	2085-7	64.4	0.97	15.4	4.24		1.27	5.97	3.24	4.54				52	0.38	1.05	14.4	0.35	12.1	19.7	0.36			0.0001	1383.15
"Meen, J.K. (1987)"	1987	2982h-14	55.1	1	17.7	8.12		4.91	7.37	3.92	1.89				51.9	0.46	1.89	10.8	0.41	14.6	19.4	0.48			1	1448.15
"Meen, J.K. (1987)"	1987	2982h-15	55.4	1.06	17.9	7.92		4.08	7.25	3.99	2.36				52.3	0.51	2.11	11	0.32	14.5	19.4	0.32			1	1423.15
"Meen, J.K. (1987)"	1987	2982h-16	55.7	0.98	18.2	8.71		3.86	5.36	3.42	3.73				51.6	0.66	2.57	11.3	0.29	14.4	19.1	0.4			1	1398.15
"Meen, J.K. (1990)"	1990	A1125	60.1	1	13.1	7.57		4.14	6.09	5.01	2.87		0.54		52.3	0.57	2.03	10.4		14	20.6	0.4			0.0001	1398.15
"Meen, J.K. (1990)"	1990	A1125	53.6	1.13	15.7	7.84		5.75	7.33	3.67	3.69		1.1		50.3	0.53	6.49	6.34		15	20.8	0.45			1	1398.15
"Meen, J.K. (1990)"	1990	A1137	57.6	1.68	13	10.8		3.9	5.93	4.21	2.24		1.05		51.6	0.39	2.11	10.1		14.3	20.4	0.48			0.0001	1410.15
"Meen, J.K. (1990)"	1990	A1150	54.5	1.69	15.2	10.2		3.25	7.85	5.16	1.15		1.2		51.7	0.45	1.89	9.46		14.7	20.3	0.29			0.0001	1423.15
"Meen, J.K. (1990)"	1990	A1150	52	1.18	14	9.54		8.84	7.67	4.66	1.29		1.1		51.2	0.46	6.17	4.83		16.2	19.9	0.54			1	1423.15
"Meen, J.K. (1990)"	1990	A1175	51.6	1.84	13.6	11.1		8.15	7.04	4.72	0.98		0.95		51.1	0.4	6.04	6.26		14.8	21.1	0.67			1	1448.15
"Meen, J.K. (1990)"	1990	B1125	60.2	0.7	14.4	5.87		3	5.11	4.15	4.99		1.03		52.6	0.49	1.74	9.86		14.2	20.6	0.37			0.0001	1398.15
"Meen, J.K. (1990)"	1990	B1125	53.4	0.89	16	9.4		4.42	7	3.35	4.53		1.04		50.7	0.49	7.32	6.62		14.2	20.5	0.66			1	1398.15
"Meen, J.K. (1990)"	1990	B1137	56.8	1.32	13.6	9.35		3.21	6.82	3.25	4.42		0.76		52	0.72	2.57	9.69		14.9	20.8	0.33			0.0001	1410.15
"Meen, J.K. (1990)"	1990	B1150	56.3	1.35	15.8	8.57		2.92	6.9	3.99	3.52		0.5		52.4	0.36	2.31	9.77		14.7	20.4	0.41			0.0001	1423.15
"Meen, J.K. (1990)"	1990	B1150	52.7	1.22	14.5	10.5		5.7	6.9	4.07	3.18		1.21		51.4	0.38	6.7	6.05		15.2	20.8	0.58			1	1423.15
"Meen, J.K. (1990)"	1990	B1175	52.5	1.26	15	9.69		6.76	6.82	4.37	2.46		0.9		51.2	0.38	6.25	6.01		15.2	20.9	0.61			1	1448.15
"Meen, J.K. (1990)"	1990	C1125	59.5	0.72	13.4	7.61		2.67	5.3	2.42	7.88		1.02		51.7	0.61	2.87	10.4		13.4	20.3	0.72			0.0001	1398.15
"Meen, J.K. (1990)"	1990	C1125	54.1	1.38	14.7	9.41		3.76	5.9	2.93	6.72		1.53		50.8	0.5	6.21	7.67		14	20.6	0.6			1	1398.15
"Meen, J.K. (1990)"	1990	C1137	57.3	1.19	13.4	8.54		2.92	6.62	2.64	6.05		1.15		52.1	0.72	2.3	10.2		13.3	20.5	0.8			0.0001	1410.15
"Meen, J.K. (1990)"	1990	C1150	56.8	0.95	14.9	8.12		3.15	7.28	2.98	5.26		0.96		51.9	0.5	2.71	10.1		14.1	20.6	0.65			0.0001	1423.15
"Meen, J.K. (1990)"	1990	C1150	54.3	1.07	14.4	9.67		5.42	5.55	3.95	4.7		1.05		50.7	0.46	6.89	6.05		15.2	20.2	0.54			1	1423.15
"Meen, J.K. (1990)"	1990	C1175	53	1.22	15.1	9.63		6.24	6.28	3.8	3.86		0.85		51	0.42	6.57	5.86		15.7	19.9	0.51			1	1448.15
Melekhova et al (2017)	2017	Run1-2	53.73	1.2	16.59	8.73	0.23	2.89	6.39	4.21	0.66	0	0.24	3.3	49.78	0.79	4.02	12.65	0.49	14.15	16.02	0.32	0	0	0.24	1298.15
Melekhova et al (2017)	2017	Run1-3	57.5	1.61	14.81	9.2	0.39	1.92	5.64	1.88	1.34	0	0.28	1.96	49.97	0.69	2.22	16.77	0.65	15.12	13.24	0.19	0.02	0	0.24	1298.15
